date,count
20180401,196923
20180402,217555
20180403,223318
20180404,202002
20180405,187893
20180406,183774
20180407,169496
20180408,161031
20180409,152436
20180410,155430
20180411,157126
20180412,154921
20180413,153250
20180414,151418
20180415,149615
20180416,148635
20180417,152086
20180418,149976
20180419,146376
20180420,143850
20180421,147942
20180422,151489
20180423,157054
20180424,159069
20180425,164252
20180426,165612
20180427,171172
20180428,173394
20180429,179529
20180430,207604
20180501,187427
20180502,217446
20180503,216556
20180504,205574
20180505,188168
20180506,185544
20180507,174530
20180508,163610
20180509,154607
20180510,151510
20180511,156274
20180512,154895
20180513,153305
20180514,151272
20180515,149922
20180516,147558
20180517,149636
20180518,150891
20180519,147297
20180520,143745
20180521,144589
20180522,149200
20180523,153581
20180524,158083
20180525,160953
20180526,165817
20180527,167488
20180528,175315
20180529,175173
20180530,183502
