date,count
20160101,218079
20160102,215671
20160103,175562
20160104,184481
20160105,160360
20160106,158993
20160107,158937
20160108,157472
20160109,154699
20160110,155307
20160111,159194
20160112,150753
20160113,148653
20160114,148825
20160115,162096
20160116,158103
20160117,138620
20160118,155084
20160119,152434
20160120,166040
20160121,173752
20160122,180331
20160123,182344
20160124,176867
20160125,193843
20160126,195424
20160127,199355
20160128,197984
20160129,196938
20160130,195416
20160131,229200
20160201,213307
20160202,211228
20160203,196006
20160204,189435
20160205,150470
20160206,138651
20160207,110321
20160208,82057
20160209,96834
20160210,102787
20160211,93640
20160212,103493
20160213,106280
20160214,127526
20160215,146920
20160216,157799
20160217,148547
20160218,152911
20160219,160645
20160220,168200
20160221,163890
20160222,159413
20160223,179510
20160224,184033
20160225,183337
20160226,196005
20160227,207059
20160228,218821
20160229,225690
20160301,192079
20160302,196925
20160303,205050
20160304,180504
20160305,164427
20160306,161022
20160307,151975
20160308,143959
20160309,152818
20160310,157900
20160311,159296
20160312,166101
20160313,156691
20160314,147138
20160315,159047
20160316,161378
20160317,157753
20160318,163429
20160319,167775
20160320,157592
20160321,161165
20160322,161841
20160323,178865
20160324,168887
20160325,174211
20160326,190603
20160327,186645
20160328,181406
20160329,181792
20160330,205078
20160331,236004
20160401,207209
20160402,204273
20160403,212091
20160404,205115
20160405,177012
20160406,174951
20160407,157673
20160408,162863
20160409,164499
20160410,166235
20160411,170821
20160412,165390
20160413,161374
20160414,165172
20160415,158829
20160416,170382
20160417,157016
20160418,159860
20160419,155550
20160420,170701
20160421,167365
20160422,173488
20160423,178061
20160424,181654
20160425,184284
20160426,197226
20160427,203152
20160428,200556
20160429,215394
20160430,241741
20160501,194482
20160502,196370
20160503,200443
20160504,188044
20160505,185200
20160506,168651
20160507,159012
20160508,149496
20160509,178226
20160510,157633
20160511,158866
20160512,161822
20160513,157913
20160514,164610
20160515,165603
20160516,165904
20160517,151626
20160518,161842
20160519,157704
20160520,173139
20160521,167904
20160522,171756
20160523,180319
20160524,186403
20160525,185310
20160526,195863
20160527,196546
20160528,192673
20160529,209905
20160530,206895
20160531,235179
20160601,192495
20160602,190649
20160603,206459
20160604,201274
20160605,183045
20160606,171351
20160607,161681
20160608,168975
20160609,180498
20160610,164086
20160611,157763
20160612,162816
20160613,173129
20160614,165972
20160615,167592
20160616,177653
20160617,172356
20160618,166895
20160619,163517
20160620,166309
20160621,159993
20160622,171688
20160623,175074
20160624,187460
20160625,189165
20160626,192127
20160627,185100
20160628,199375
20160629,208882
20160630,212951
20160701,200169
20160702,213330
20160703,220725
20160704,199808
20160705,179516
20160706,176444
20160707,166074
20160708,154969
20160709,151547
20160710,165984
20160711,181228
20160712,173745
20160713,179411
20160714,173469
20160715,175389
20160716,174167
20160717,158873
20160718,169021
20160719,161692
20160720,178119
20160721,174902
20160722,180523
20160723,176302
20160724,168413
20160725,181817
20160726,191601
20160727,200714
20160728,204271
20160729,202943
20160730,214634
20160731,217307
20160801,214264
20160802,216249
20160803,227551
20160804,221329
20160805,205198
20160806,181781
20160807,155352
20160808,168502
20160809,172863
20160810,180028
20160811,177775
20160812,176543
20160813,174504
20160814,159243
20160815,173559
20160816,185844
20160817,174058
20160818,165235
20160819,170046
20160820,175368
20160821,169340
20160822,179892
20160823,184388
20160824,189788
20160825,184631
20160826,212427
20160827,207536
20160828,204304
20160829,207869
20160830,204850
20160831,234973
20160901,219419
20160902,196367
20160903,213867
20160904,204127
20160905,183657
20160906,180720
20160907,166834
20160908,172757
20160909,177421
20160910,177507
20160911,169273
20160912,168332
20160913,159840
20160914,171212
20160915,194719
20160916,189010
20160917,166821
20160918,171651
20160919,169007
20160920,182733
20160921,182965
20160922,186914
20160923,192859
20160924,194865
20160925,173500
20160926,190725
20160927,197493
20160928,192032
20160929,214700
20160930,222890
20161001,237248
20161002,219350
20161003,232791
20161004,194903
20161005,180460
20161006,172526
20161007,160912
20161008,166705
20161009,172351
20161010,163751
20161011,168430
20161012,175117
20161013,164910
20161014,162204
20161015,161070
20161016,164707
20161017,148206
20161018,155005
20161019,155570
20161020,154952
20161021,162758
20161022,180346
20161023,179461
20161024,180334
20161025,179324
20161026,197715
20161027,189550
20161028,195486
20161029,199620
20161030,207180
20161031,221137
20161101,214155
20161102,216213
20161103,205935
20161104,196989
20161105,187378
20161106,160621
20161107,150113
20161108,161071
20161109,164103
20161110,163557
20161111,166768
20161112,156051
20161113,144707
20161114,145275
20161115,147917
20161116,160663
20161117,135839
20161118,140051
20161119,138220
20161120,139388
20161121,155659
20161122,170083
20161123,158875
20161124,148600
20161125,167394
20161126,175109
20161127,167853
20161128,171777
20161129,194186
20161130,223382
20161201,217566
20161202,197217
20161203,205514
20161204,196026
20161205,190843
20161206,165556
20161207,144791
20161208,157216
20161209,158961
20161210,168263
20161211,152607
20161212,150413
20161213,149279
20161214,142789
20161215,138719
20161216,142167
20161217,129227
